split,family,system,seed,checkpoint_set,mean_entity_aodt,std_entity_aodt,median_entity_aodt,p95_entity_aodt,max_entity_aodt,mean_delay,p95_delay,max_delay,fraction_over_slot,direct_upload_ratio,cross_upload_ratio,idle_rate,completed_update_count,mean_worker_inference_time,action_entropy_mean,same_sensor_fraction_mean,ppo_gain_mean,greedy_gain_mean,regret_mean,feasible_real_action_count_mean,no_feasible_real_sensor_count_mean,mean_backhaul_power,ppo_action_regret_mean,manager_model_path,mean_backhaul_energy,max_per_uav_episode_avg_energy,positive_energy_violation,uav_window_violation_fraction,feasible_episode_fraction,mean_virtual_queue,terminal_virtual_queue,terminal_virtual_queue_mean_per_uav,terminal_virtual_queue_max_per_uav,uav_switch_fraction,dt_host_switch_fraction,total_movement_distance,mean_manager_inference_time,manager_actions,window_count,mean_aodt_reward_term,mean_energy_reward_term,max_energy_reward_term,energy_term_gt_aodt_fraction,movement_field_used,n_seeds,mean_entity_aodt_std,mean_entity_aodt_median,mean_entity_aodt_min,mean_entity_aodt_max,mean_entity_aodt_ci95_low,mean_entity_aodt_ci95_high,mean_backhaul_energy_std,mean_backhaul_energy_median,mean_backhaul_energy_min,mean_backhaul_energy_max,mean_backhaul_energy_ci95_low,mean_backhaul_energy_ci95_high,positive_energy_violation_std,positive_energy_violation_median,positive_energy_violation_min,positive_energy_violation_max,positive_energy_violation_ci95_low,positive_energy_violation_ci95_high,uav_window_violation_fraction_std,uav_window_violation_fraction_median,uav_window_violation_fraction_min,uav_window_violation_fraction_max,uav_window_violation_fraction_ci95_low,uav_window_violation_fraction_ci95_high,feasible_episode_fraction_std,feasible_episode_fraction_median,feasible_episode_fraction_min,feasible_episode_fraction_max,feasible_episode_fraction_ci95_low,feasible_episode_fraction_ci95_high,mean_virtual_queue_std,mean_virtual_queue_median,mean_virtual_queue_min,mean_virtual_queue_max,mean_virtual_queue_ci95_low,mean_virtual_queue_ci95_high,terminal_virtual_queue_std,terminal_virtual_queue_median,terminal_virtual_queue_min,terminal_virtual_queue_max,terminal_virtual_queue_ci95_low,terminal_virtual_queue_ci95_high
test,manager,ppo_worker_candidate0,51,"[""manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed51.pt""]",5.35687710095644,0.0925362136089172,5.361494034131368,5.502803427060446,5.630129965941111,0.1247587918986567,0.3604405514300257,,,0.7132555555555555,0.2867444444444444,0.0,180000.0,0.0172670235915671,,,,,,,,0.168528938948777,,manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed51.pt,0.0329165906024281,0.0710887026662627,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0016584882410436,12000.0,12000.0,5.35687710095644,0.0,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,manager,ppo_worker_candidate0,52,"[""manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed52.pt""]",5.551658293060461,0.0983888236421363,5.54553548137347,5.713763213992119,5.9151880677541095,0.1243797398292657,0.3463506979318482,,,0.6807888888888889,0.3192111111111111,0.0,180000.0,0.0175517199080592,,,,,,,,0.1833858923501438,,manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed52.pt,0.0321708282360728,0.0625172243764003,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0016833049666359,12000.0,12000.0,5.551658293060461,0.0,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,manager,ppo_worker_candidate0,53,"[""manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed53.pt""]",5.66437597788175,0.1568501834126386,5.634035025835036,6.003489342490832,6.23799528837204,0.2317449998500477,0.6170109692830834,,,0.5487868845140842,0.4512131154859158,0.0,179208.0,0.0184126321997852,,,,,,,,0.2532200542205873,,manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed53.pt,0.0843825632599182,0.2050680975119272,0.0,0.0094166666666666,0.775,0.0001027312363882,0.0,,,0.0,0.0,0.0,0.0017699842163807,12000.0,12000.0,5.66437597788175,0.0002345985381055,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,manager,ppo_worker_candidate0,54,"[""manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed54.pt""]",5.5704867669105536,0.0834685642333425,5.571491136153538,5.701979770779609,5.735150542259216,0.1703689558734291,0.4706379568642805,,,0.5408777777777778,0.4591222222222222,0.0,180000.0,0.0200260808745175,,,,,,,,0.3137857604596349,,manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed54.pt,0.0688662677753405,0.1176287761578957,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.001931428524777,12000.0,12000.0,5.570486766910552,0.0,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,manager,ppo_worker_candidate0,55,"[""manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed55.pt""]",5.517670421163241,0.1398121775397135,5.491768052577973,5.8032063566048935,5.905827844937643,0.1255659614686667,0.4170805981527933,,,0.7293722222222222,0.2706277777777778,0.0,180000.0,0.0193032248665161,,,,,,,,0.1254221445555488,,manager_final_candidate_0/models/manager_ppo_r128_lr1e-04_e0.01_seed55.pt,0.0184648049254307,0.0696777658847471,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0018489284834067,12000.0,12000.0,5.517670421163241,0.0,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,manager,ppo_worker_candidate1,51,"[""manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed51.pt""]",5.555369832827648,0.1209705571370018,5.553576435248058,5.764567043940225,5.905198264916738,0.1363439206307946,0.3549107068438251,,,0.4680852245895719,0.5319147754104281,2.77777777777775e-05,179995.0,0.0192649283915815,,,,,,,,0.288514300521776,,manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed51.pt,0.0379974306789614,0.0910038661211729,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0018527812664105,12000.0,12000.0,5.555369832827648,0.0,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,manager,ppo_worker_candidate1,52,"[""manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed52.pt""]",5.579185894004504,0.1170443310639588,5.57070671359698,5.814587328910829,5.995959449609121,0.1284663568208653,0.3598092989719909,,,0.6818111111111111,0.3181888888888889,0.0,180000.0,0.0191842531332997,,,,,,,,0.1760279342777199,,manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed52.pt,0.0322005442966861,0.0599481020122766,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.001866533775091,12000.0,12000.0,5.579185894004504,0.0,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,manager,ppo_worker_candidate1,53,"[""manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed53.pt""]",5.610493676483632,0.1661313083675903,5.630397692521413,5.845148898084958,6.235312665303547,0.1286607219027155,0.3470633089903749,,,0.2828277777777778,0.7171722222222222,0.0,180000.0,0.0188390122413595,,,,,,,,0.3594067665672965,,manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed53.pt,0.0337586613172509,0.1037687674164772,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.001808260933462,12000.0,12000.0,5.610493676483632,0.0,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,manager,ppo_worker_candidate1,54,"[""manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed54.pt""]",5.495613345479964,0.1064131526009075,5.482413534323375,5.676223708510399,5.949787295659383,0.1017291000214042,0.2863330721456787,,,0.7245777777777778,0.2754222222222222,0.0,180000.0,0.0196901219255086,,,,,,,,0.1686266260034508,,manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed54.pt,0.0236486478820054,0.0528169997036457,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0018806049584575,12000.0,12000.0,5.495613345479964,0.0,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,manager,ppo_worker_candidate1,55,"[""manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed55.pt""]",5.352036323821544,0.0766104216229188,5.354406063954036,5.468152657588323,5.5027069354057305,0.1253324915341569,0.4193923271830038,,,0.7100317223984578,0.2899682776015422,5.5555555555555e-06,179999.0,0.018711657016407,,,,,,,,0.2189797619388387,,manager_final_candidate_1/models/manager_ppo_r128_lr1e-04_e0.005_seed55.pt,0.042258792166016,0.091852712444961,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0018004167999557,12000.0,12000.0,5.352036323821544,0.0,,0.0,avg_movement_distance_per_uav_transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
